name,price,url
Coletor Menstrual Tipo 2 Fleurity,89,90,http://www.epocacosmeticos.com.br/coletor-menstrual-tipo-2-fleurity-cuidados-femininos/p
Coletor Menstrual Tipo 1 Fleurity,89,90,http://www.epocacosmeticos.com.br/coletor-menstrual-tipo-1-fleurity-cuidados-femininos/p
Ultra Soft CS5460B Curaprox,24,70,http://www.epocacosmeticos.com.br/ultra-soft-cs5460b-curaprox-escova-dental/p
Coletor Menstrual Tipo 3 Fleurity,89,90,http://www.epocacosmeticos.com.br/coletor-menstrual-tipo-3-fleurity-cuidados-femininos/p
Angel Body Lotion Mugler,329,00,http://www.epocacosmeticos.com.br/angel-body-lotion-thierry-mugler-locao-corporal/p
Deluxe Pelagie,59,90,http://www.epocacosmeticos.com.br/deluxe-pelagie-kit-acessorios-de-limpeza-de-pele/p
Deep Clean Rapid Clear Neutrogena,10,10,http://www.epocacosmeticos.com.br/deep-clean-rapid-clear-neutrogena-sabonete-facial/p
Deep Clean Grapefruit Neutrogena,15,50,http://www.epocacosmeticos.com.br/deep-clean-grapefruit-neutrogena-sabonete-facial/p
Norwegian Formula sem Fragrância Neutrogena,74,00,http://www.epocacosmeticos.com.br/norwegian-formula-sem-fragrancia-neutrogena-hidratante-corporal-intensivo/p
Pure Secret Phyto Lotion Phytoderm,11,90,http://www.epocacosmeticos.com.br/pure-secret-phyto-lotion-phytoderm-hidratante-corporal/p
Sync For Men Puma,16,70,http://www.epocacosmeticos.com.br/sync-for-men-puma-desodorante-masculino/p
Desodorante The Secret Antonio Banderas,19,00,http://www.epocacosmeticos.com.br/desodorante-the-secret-antonio-banderas-desodorante-masculino/p
Fita Adesiva para Retirar Cravos Ricca,13,90,http://www.epocacosmeticos.com.br/fita-adesiva-para-retirar-cravos-ricca/p
Manga Korres,9,00,http://www.epocacosmeticos.com.br/manga-korres-sabonete-em-barra/p
Leite de Coco Korres,9,00,http://www.epocacosmeticos.com.br/leite-de-coco-korres-sabonete-em-barra/p
Le Deliziose Figo Nesti Dante,27,00,http://www.epocacosmeticos.com.br/le-deliziose-figo-nesti-dante-sabonete-em-barra/p
Deep Clean Energizing Neutrogena,10,10,http://www.epocacosmeticos.com.br/deep-clean-energizing-neutrogena-sabonete-facial/p
Vanilla Kiss Phyto Phytoderm,26,50,http://www.epocacosmeticos.com.br/vanilla-kiss-phyto-phytoderm-kit-de-perfume-deo-colonia-feminino-200ml-hidratante-corporal-200ml/p
Shampoo de Barba Cia Da Barba,69,00,http://www.epocacosmeticos.com.br/shampoo-de-barba-cia-da-barba-shampoo-para-barba/p
Nail Enamel Revlon,14,90,http://www.epocacosmeticos.com.br/nail-enamel-revlon-esmalte/p
Gio Antonelli Achados da GIo Colorama,5,30,http://www.epocacosmeticos.com.br/gio-antonelli-achados-da-gio-colorama-esmalte/p
Base Seda Impala,11,90,http://www.epocacosmeticos.com.br/base-seda-impala-esmalte-de-tratamento/p
Esmalte Cremoso Vult,7,00,http://www.epocacosmeticos.com.br/esmalte-cremoso-vult-esmalte/p
Gio Antonelli Colorama,5,80,http://www.epocacosmeticos.com.br/gio-antonelli-colorama-esmalte/p
Color Show Maybelline,6,80,http://www.epocacosmeticos.com.br/color-show-maybelline-esmalte/p
1 Seconde Gel Bourjois,29,90,http://www.epocacosmeticos.com.br/1-seconde-gel-bourjois-esmalte/p
